Removed samples and series PI3K ,,,
Series,Reason,Sample,Reason 
,,GSM2493627,irrelevant knockout
,,GSM2493628,irrelevant knockout
,,GSM2493629,irrelevant knockout
,,GSM2493630,irrelevant knockout
,,GSM2493631,irrelevant knockout
,,GSM2493632,irrelevant knockout
,,GSM2493633,irrelevant knockout
,,GSM2493634,irrelevant knockout
,,GSM2493635,irrelevant knockout
,,GSM2493636,irrelevant knockout
,,GSM2493637,irrelevant knockout
,,GSM2493638,irrelevant knockout
,,GSM2493639,irrelevant knockout
,,GSM2493640,irrelevant knockout
,,GSM2493641,irrelevant knockout
,,GSM2493642,irrelevant knockout
,,GSM2493643,irrelevant knockout
,,GSM2493644,irrelevant knockout
,,GSM2493645,irrelevant knockout
,,GSM2493646,irrelevant knockout
,,GSM2493727,irrelevant knockout
,,GSM2493728,irrelevant knockout
,,GSM2493729,irrelevant knockout
,,GSM2493730,irrelevant knockout
,,GSM2493731,irrelevant knockout
,,GSM2493732,irrelevant knockout
,,GSM2493733,irrelevant knockout
,,GSM2493734,irrelevant knockout
,,GSM2493735,irrelevant knockout
,,GSM2493736,irrelevant knockout
,,GSM2493737,irrelevant knockout
,,GSM2493738,irrelevant knockout
,,GSM2493739,irrelevant knockout
,,GSM2493740,irrelevant knockout
,,GSM2493741,irrelevant knockout
,,GSM2493742,irrelevant knockout
,,GSM2493743,irrelevant knockout
,,GSM2493744,irrelevant knockout
,,GSM2493745,irrelevant knockout
,,GSM2493746,irrelevant knockout
,,GSM2493747,irrelevant knockout
,,GSM2493748,irrelevant knockout
,,GSM2493749,irrelevant knockout
,,GSM2493750,irrelevant knockout
,,GSM2493751,irrelevant knockout
,,GSM2493752,irrelevant knockout
,,GSM2493753,irrelevant knockout
,,GSM2493754,irrelevant knockout
,,GSM2493755,irrelevant knockout
,,GSM2493756,irrelevant knockout
,,GSM2493757,irrelevant knockout
,,GSM2493758,irrelevant knockout
,,GSM2493759,irrelevant knockout
,,GSM2493760,irrelevant knockout
,,GSM2493761,irrelevant knockout
,,GSM2493762,irrelevant knockout
,,GSM2493763,irrelevant knockout
,,GSM2493764,irrelevant knockout
,,GSM2493765,irrelevant knockout
,,GSM2493766,irrelevant knockout
,,GSM2493767,irrelevant knockout
,,GSM2493768,irrelevant knockout
,,GSM2493769,irrelevant knockout
,,GSM2493770,irrelevant knockout
,,GSM2493771,irrelevant knockout
,,GSM2493772,irrelevant knockout
,,GSM2493773,irrelevant knockout
,,GSM2493774,irrelevant knockout
,,GSM2493775,irrelevant knockout
,,GSM2493776,irrelevant knockout
,,GSM2493777,irrelevant knockout
,,GSM2493778,irrelevant knockout
,,GSM2493779,irrelevant knockout
,,GSM2493780,irrelevant knockout
,,GSM2493781,irrelevant knockout
,,GSM2493782,irrelevant knockout
,,GSM2493783,irrelevant knockout
,,GSM2493784,irrelevant knockout
,,GSM2493785,irrelevant knockout
,,GSM2493786,irrelevant knockout
,,GSM2493787,irrelevant knockout
,,GSM2493788,irrelevant knockout
,,GSM2493789,irrelevant knockout
,,GSM2493790,irrelevant knockout
,,GSM2493791,irrelevant knockout
,,GSM2493792,irrelevant knockout
,,GSM2493793,irrelevant knockout
,,GSM2493794,irrelevant knockout
,,GSM2493795,irrelevant knockout
,,GSM2493796,irrelevant knockout
,,GSM2493797,irrelevant knockout
,,GSM2493798,irrelevant knockout
,,GSM2493799,irrelevant knockout
,,GSM2493800,irrelevant knockout
,,GSM2493801,irrelevant knockout
,,GSM2493802,irrelevant knockout
,,GSM2493803,irrelevant knockout
,,GSM2493804,irrelevant knockout
,,GSM2493805,irrelevant knockout
,,GSM2493806,irrelevant knockout
,,GSM2493807,irrelevant knockout
,,GSM2493808,irrelevant knockout
,,GSM2493809,irrelevant knockout
,,GSM2493810,irrelevant knockout
,,GSM2493811,irrelevant knockout
,,GSM2493812,irrelevant knockout
,,GSM2493813,irrelevant knockout
,,GSM2493814,irrelevant knockout
,,GSM2493815,irrelevant knockout
,,GSM2493816,irrelevant knockout
,,GSM2493817,irrelevant knockout
,,GSM2493818,irrelevant knockout
,,GSM2493819,irrelevant knockout
,,GSM2493820,irrelevant knockout
,,GSM2493821,irrelevant knockout
,,GSM2493822,irrelevant knockout
,,GSM2493823,irrelevant knockout
,,GSM2493824,irrelevant knockout
,,GSM2493825,irrelevant knockout
,,GSM2493826,irrelevant knockout
,,GSM2493827,irrelevant knockout
,,GSM2493828,irrelevant knockout
,,GSM2493829,irrelevant knockout
,,GSM2493830,irrelevant knockout
,,GSM2493831,irrelevant knockout
,,GSM2493832,irrelevant knockout
,,GSM2493833,irrelevant knockout
,,GSM2493834,irrelevant knockout
,,GSM2493835,irrelevant knockout
,,GSM2493836,irrelevant knockout
,,GSM2493837,irrelevant knockout
,,GSM2493838,irrelevant knockout
,,GSM2493839,irrelevant knockout
,,GSM2493840,irrelevant knockout
,,GSM2493841,irrelevant knockout
,,GSM2493842,irrelevant knockout
,,GSM2493843,irrelevant knockout
,,GSM2493844,irrelevant knockout
,,GSM2493845,irrelevant knockout
,,GSM2493846,irrelevant knockout
,,GSM2493847,irrelevant knockout
,,GSM2493848,irrelevant knockout
,,GSM2493849,irrelevant knockout
,,GSM2493850,irrelevant knockout
,,GSM2493851,irrelevant knockout
,,GSM2493852,irrelevant knockout
,,GSM2493853,irrelevant knockout
,,GSM2493854,irrelevant knockout
,,GSM2493855,irrelevant knockout
,,GSM2493856,irrelevant knockout
,,GSM2493857,irrelevant knockout
,,GSM2493858,irrelevant knockout
,,GSM2493859,irrelevant knockout
,,GSM2493860,irrelevant knockout
,,GSM2493861,irrelevant knockout
,,GSM2493862,irrelevant knockout
,,GSM2493863,irrelevant knockout
,,GSM2493864,irrelevant knockout
,,GSM2493865,irrelevant knockout
,,GSM2493866,irrelevant knockout
,,GSM2493867,irrelevant knockout
,,GSM2493868,irrelevant knockout
,,GSM2493869,irrelevant knockout
,,GSM2493870,irrelevant knockout
,,GSM2493871,irrelevant knockout
,,GSM2493872,irrelevant knockout
,,GSM2493873,irrelevant knockout
,,GSM2493874,irrelevant knockout
,,GSM2493875,irrelevant knockout
,,GSM2493876,irrelevant knockout
,,GSM2493877,irrelevant knockout
,,GSM2493878,irrelevant knockout
,,GSM2493879,irrelevant knockout
,,GSM2493880,irrelevant knockout
,,GSM2493881,irrelevant knockout
,,GSM2493882,irrelevant knockout
,,GSM2493883,irrelevant knockout
,,GSM2493884,irrelevant knockout
,,GSM2493885,irrelevant knockout
,,GSM2493886,irrelevant knockout
,,GSM2493887,irrelevant knockout
,,GSM2493888,irrelevant knockout
,,GSM2493889,irrelevant knockout
,,GSM2493890,irrelevant knockout
,,GSM2493891,irrelevant knockout
,,GSM2493892,irrelevant knockout
,,GSM2493893,irrelevant knockout
,,GSM2493894,irrelevant knockout
,,GSM2493895,irrelevant knockout
,,GSM2493896,irrelevant knockout
,,GSM2493897,irrelevant knockout
,,GSM2493898,irrelevant knockout
,,GSM2493899,irrelevant knockout
,,GSM2493900,irrelevant knockout
,,GSM2493901,irrelevant knockout
,,GSM2493902,irrelevant knockout
,,GSM2493903,irrelevant knockout
,,GSM2493904,irrelevant knockout
,,GSM2493905,irrelevant knockout
,,GSM2493906,irrelevant knockout
,,GSM2493907,irrelevant knockout
,,GSM2493908,irrelevant knockout
,,GSM2493909,irrelevant knockout
,,GSM2493910,irrelevant knockout
,,GSM2493911,irrelevant knockout
,,GSM2493912,irrelevant knockout
,,GSM2493913,irrelevant knockout
,,GSM2493914,irrelevant knockout
,,GSM2493915,irrelevant knockout
,,GSM2493916,irrelevant knockout
,,GSM2493917,irrelevant knockout
,,GSM2493918,irrelevant knockout
,,GSM2493919,irrelevant knockout
,,GSM2493920,irrelevant knockout
,,GSM2493921,irrelevant knockout
,,GSM2493922,irrelevant knockout
,,GSM2493923,irrelevant knockout
,,GSM2493924,irrelevant knockout
,,GSM2493925,irrelevant knockout
,,GSM2493926,irrelevant knockout
,,GSM2493927,irrelevant knockout
,,GSM2493928,irrelevant knockout
,,GSM2493929,irrelevant knockout
,,GSM2493930,irrelevant knockout
,,GSM2493931,irrelevant knockout
,,GSM2493932,irrelevant knockout
,,GSM2493933,irrelevant knockout
,,GSM2493934,irrelevant knockout
,,GSM2493935,irrelevant knockout
,,GSM2493936,irrelevant knockout
,,GSM2493937,irrelevant knockout
,,GSM2493938,irrelevant knockout
,,GSM2493939,irrelevant knockout
,,GSM2493940,irrelevant knockout
,,GSM2493941,irrelevant knockout
,,GSM2493942,irrelevant knockout
,,GSM2493943,irrelevant knockout
,,GSM2493944,irrelevant knockout
,,GSM2493945,irrelevant knockout
,,GSM2493946,irrelevant knockout
,,GSM2493947,irrelevant knockout
,,GSM2493948,irrelevant knockout
,,GSM2493949,irrelevant knockout
,,GSM2493950,irrelevant knockout
,,GSM2493951,irrelevant knockout
,,GSM2493952,irrelevant knockout
,,GSM2493953,irrelevant knockout
,,GSM2493954,irrelevant knockout
,,GSM2493955,irrelevant knockout
